country,steps_gini,steps_female,steps_male,steps_gender_gap,steps_relative_gender_gap,must_label_ind
United States,0.302526824712,4151.36934729,5558.40058902,1407.03124173,0.253135991046,True
United Kingdom,0.288125107668,4908.14463032,5981.93097198,1073.78634166,0.179504970333,True
Japan,0.248464033659,5320.96764182,6254.87863803,933.91099621,0.149309211298,True
Saudi Arabia,0.324758589134,2855.8661703,4519.8846587,1664.0184884,0.36815507785,True
Canada,0.302882057113,4283.28433632,5512.24321176,1228.95887544,0.222950771261,False
Australia,0.303666489195,4232.09059063,5660.02177732,1427.93118669,0.252283691277,False
China,0.245276977084,6002.61854262,6651.59555269,648.977010069,0.0975671182842,False
Germany,0.266173925835,4816.5931629,5398.03881107,581.445648172,0.107714240027,False
India,0.293392938737,3684.82850729,4606.88570563,922.057198339,0.200147617557,False
France,0.268304371682,4824.72438304,5350.52350048,525.799117446,0.0982705930361,False
Russia,0.262398515352,5771.24365933,6199.71613335,428.472474019,0.0691116278235,False
Spain,0.261357216967,5476.52452078,6214.61909455,738.094573774,0.118767467892,False
Netherlands,0.26102476698,4557.86201506,5443.66932022,885.807305169,0.162722467707,False
Mexico,0.279211876592,3987.95739046,5073.28892488,1085.33153441,0.213930558753,False
Italy,0.274525749704,5074.35624576,5495.8583185,421.502072734,0.076694493982,False
Singapore,0.248778920976,5171.06143014,6041.42557265,870.364142509,0.144066020849,False
Sweden,0.246041421981,5802.03745002,6048.77431852,246.736868494,0.0407912174437,False
South Korea,0.246801637903,5384.12271317,5975.36577913,591.243065954,0.098946757037,False
Taiwan,0.261750833362,4521.84555579,5323.77315,801.927594208,0.150631435941,False
Hong Kong,0.222368351342,6221.34829673,7126.9886835,905.640386776,0.127071955211,False
Turkey,0.264023075087,4743.44795611,5377.48324167,634.03528556,0.117905580932,False
Thailand,0.27237319525,4311.78467094,5352.57555312,1040.79088218,0.194446742853,False
Norway,0.251679193792,5072.36169724,5487.43512786,415.073430626,0.0756406993349,False
United Arab Emirates,0.280711279518,3604.78864009,5065.39559083,1460.60695074,0.288350026083,False
Brazil,0.271752460714,3659.15700389,4538.44504057,879.288036684,0.193742136089,False
Denmark,0.262296787052,4802.53267471,5666.2906949,863.758020194,0.152437999867,False
Malaysia,0.287591441193,3170.22175221,4648.13320597,1477.91145376,0.317958067953,False
Belgium,0.276202984377,4588.84586021,5254.65480527,665.808945062,0.126708408018,False
New Zealand,0.301304157329,4200.50698354,5050.37404822,849.867064685,0.168278043679,False
Philippines,0.297646161697,3462.7418335,4471.79419218,1009.05235868,0.225648210833,False
Ireland,0.284902871533,4903.69108533,5748.65159464,844.960509311,0.146984122346,False
South Africa,0.283630686406,3388.65862444,4713.23726682,1324.57864238,0.281033728496,False
Ukraine,0.252172344415,5836.8470191,6130.38299793,293.535978833,0.04788215988,False
Indonesia,0.282560531501,3198.84165244,3809.50473844,610.663086006,0.160299862563,False
Switzerland,0.262898824692,5131.16803443,5822.32548132,691.157446885,0.118708143181,False
Czech Republic,0.248327636344,5192.6598545,5634.83173484,442.171880339,0.0784711773389,False
Poland,0.268998027933,4858.21087668,5536.0144297,677.803553027,0.122435293772,False
Israel,0.272008715992,4451.03815098,5363.25637773,912.218226751,0.170086634407,False
Finland,0.26600428249,5027.41360981,5483.53082521,456.1172154,0.0831794750388,False
Romania,0.283230620795,4264.66935096,5016.44062255,751.771271591,0.149861491076,False
Portugal,0.275988506338,4407.59374969,4980.98793449,573.394184798,0.115116557667,False
Egypt,0.302671471638,3719.59231102,4231.6861858,512.09387478,0.121014142423,False
Greece,0.29530806466,3875.03662176,4503.47468071,628.438058946,0.139545152022,False
Hungary,0.273013864871,4959.00375407,5342.30292734,383.299173266,0.0717479294003,False
Chile,0.262557952563,4749.69988425,5533.70100431,784.00112006,0.141677535423,False
Qatar,0.291161935165,2977.54804351,4802.20623215,1824.65818864,0.379962479834,False
