rank,country,activity_inequality
1,Hong Kong,22.2
2,China,24.5
3,Sweden,24.6
4,South Korea,24.7
5,Czech Republic,24.8
6,Japan,24.8
7,Singapore,24.9
8,Norway,25.2
9,Ukraine,25.2
10,Netherlands,26.1
11,Spain,26.1
12,Taiwan,26.2
13,Denmark,26.2
14,Russia,26.2
15,Chile,26.3
16,Switzerland,26.3
17,Turkey,26.4
18,Finland,26.6
19,Germany,26.6
20,France,26.8
21,Poland,26.9
22,Brazil,27.2
23,Israel,27.2
24,Thailand,27.2
25,Hungary,27.3
26,Italy,27.5
27,Portugal,27.6
28,Belgium,27.6
29,Mexico,27.9
30,United Arab Emirates,28.1
31,Indonesia,28.3
32,Romania,28.3
33,South Africa,28.4
34,Ireland,28.5
35,Malaysia,28.8
36,United Kingdom,28.8
37,Qatar,29.1
38,India,29.3
39,Greece,29.5
40,Philippines,29.8
41,New Zealand,30.1
42,United States,30.3
43,Egypt,30.3
44,Canada,30.3
45,Australia,30.4
46,Saudi Arabia,32.5
