"gender","steps_binned","n","obesity_mean","lower.ci","upper.ci"
"male","(1000, 2000]",6777,0.297034085878707,0.285963553194629,0.307661944813339
"male","(2000, 3000]",14873,0.281113427015397,0.273717474618436,0.288852282659853
"male","(3000, 4000]",23154,0.258702599982724,0.253389263194265,0.264533126025741
"male","(4000, 5000]",27564,0.238100420838775,0.233420403424757,0.243180416485271
"male","(5000, 6000]",26201,0.21235830693485,0.207701996107019,0.217396282584634
"male","(6000, 7000]",21551,0.19646420119716,0.191079300264489,0.201801540531762
"male","(7000, 8000]",16213,0.181027570468143,0.175659964226238,0.187135323505829
"male","(8000, 9000]",11152,0.17404949784792,0.167322005021521,0.181225340746055
"male","(9000, 10000]",7118,0.170553526271425,0.161418235459399,0.179692329305985
"male","(10000, 11000]",4382,0.177088087631219,0.165677772706527,0.189188726608854
"female","(1000, 2000]",14538,0.309464850736002,0.30175746319989,0.316964162883478
"female","(2000, 3000]",24351,0.258880538786908,0.253168247710566,0.264345406759476
"female","(3000, 4000]",27146,0.214506741324689,0.209567707949606,0.219074633463494
"female","(4000, 5000]",23851,0.18087291937445,0.175883610750073,0.185823445557838
"female","(5000, 6000]",17959,0.155353861573584,0.150451027340052,0.160923492399354
"female","(6000, 7000]",12719,0.131142385407658,0.12587467568205,0.137274942998663
"female","(7000, 8000]",8186,0.123137063278769,0.116048741754215,0.130588810163694
"female","(8000, 9000]",5020,0.104581673306773,0.0964093625498008,0.112549800796813
"female","(9000, 10000]",2808,0.104700854700855,0.0936520655270655,0.115384615384615
"female","(10000, 11000]",1705,0.0932551319648094,0.0797653958944282,0.106744868035191
