country,steps_gini,obesity_mean,age_cat
Australia,0.303666489195,0.214486790819,All
Belgium,0.276202984377,0.0937361172812,All
Brazil,0.271752460714,0.182918149466,All
Canada,0.302882057113,0.223293439716,All
Chile,0.262557952563,0.138356164384,All
China,0.245276977084,0.0371750222726,All
Czech Republic,0.248327636344,0.131147540984,All
Denmark,0.262296787052,0.127830533236,All
Egypt,0.302671471638,0.232961586121,All
Finland,0.26600428249,0.122774133083,All
France,0.268304371682,0.0889845094664,All
Germany,0.266173925835,0.142857142857,All
Greece,0.29530806466,0.176271186441,All
Hong Kong,0.222368351342,0.0560369728481,All
Hungary,0.273013864871,0.126136363636,All
India,0.293392938737,0.162992125984,All
Indonesia,0.282560531501,0.11205330103,All
Ireland,0.284902871533,0.167410714286,All
Israel,0.272008715992,0.145052833814,All
Italy,0.274525749704,0.089588377724,All
Japan,0.248464033659,0.0546319928261,All
Malaysia,0.287591441193,0.152412280702,All
Mexico,0.279211876592,0.181260010678,All
Netherlands,0.26102476698,0.103825136612,All
New Zealand,0.301304157329,0.202090592334,All
Norway,0.251679193792,0.131691297209,All
Philippines,0.297646161697,0.136623376623,All
Poland,0.268998027933,0.107990012484,All
Portugal,0.275988506338,0.10121836926,All
Qatar,0.291161935165,0.248914616498,All
Romania,0.283230620795,0.122942884802,All
Russia,0.262398515352,0.107411950237,All
Saudi Arabia,0.324758589134,0.261246388774,All
Singapore,0.248778920976,0.0926568758344,All
South Africa,0.283630686406,0.256281407035,All
South Korea,0.246801637903,0.0586169638033,All
Spain,0.261357216967,0.12258442319,All
Sweden,0.246041421981,0.125576036866,All
Switzerland,0.262898824692,0.0910165484634,All
Taiwan,0.261750833362,0.0660911788508,All
Thailand,0.27237319525,0.0912311780337,All
Turkey,0.264023075087,0.1353125,All
Ukraine,0.252172344415,0.0863350485992,All
United Arab Emirates,0.280711279518,0.211422490245,All
United Kingdom,0.288125107668,0.195211430778,All
United States,0.302526824712,0.27651444548,All
Australia,0.280802921359,0.0502330398757,"Age [10, 20)"
Belgium,0.277660808858,0.0208333333333,"Age [10, 20)"
Brazil,0.261768045727,0.0368421052632,"Age [10, 20)"
Canada,0.283175107737,0.0988493723849,"Age [10, 20)"
Chile,0.232871213995,0.0169491525424,"Age [10, 20)"
China,0.279882957457,0.0230303030303,"Age [10, 20)"
Czech Republic,0.237494694327,0.0405405405405,"Age [10, 20)"
Denmark,0.243637556246,0.018018018018,"Age [10, 20)"
Egypt,0.282153880939,0.105769230769,"Age [10, 20)"
Finland,0.236326186997,0.0510948905109,"Age [10, 20)"
France,0.251799935287,0.010989010989,"Age [10, 20)"
Germany,0.247937333547,0.0341296928328,"Age [10, 20)"
Greece,0.255577522137,0.063829787234,"Age [10, 20)"
Hong Kong,0.265439207143,0.0215517241379,"Age [10, 20)"
Hungary,0.23939685519,0.0481927710843,"Age [10, 20)"
India,0.322650249054,0.0745192307692,"Age [10, 20)"
Indonesia,0.286289695185,0.0581395348837,"Age [10, 20)"
Ireland,0.297609075733,0.0555555555556,"Age [10, 20)"
Israel,0.271569373191,0.0530303030303,"Age [10, 20)"
Italy,0.261372882635,0.0179856115108,"Age [10, 20)"
Japan,0.270141180233,0.0126984126984,"Age [10, 20)"
Malaysia,0.325990218112,0.0721153846154,"Age [10, 20)"
Mexico,0.279525504706,0.0917431192661,"Age [10, 20)"
Netherlands,0.256815959899,0.023598820059,"Age [10, 20)"
New Zealand,0.281836117346,0.0702479338843,"Age [10, 20)"
Norway,0.219120560633,0.0510440835267,"Age [10, 20)"
Philippines,0.318017240608,0.105263157895,"Age [10, 20)"
Poland,0.240776020611,0.0121212121212,"Age [10, 20)"
Portugal,0.282934084858,0.0133333333333,"Age [10, 20)"
Qatar,0.337458384498,0.152542372881,"Age [10, 20)"
Romania,0.28291130668,0.0232558139535,"Age [10, 20)"
Russia,0.250038046554,0.0284360189573,"Age [10, 20)"
Saudi Arabia,0.341119902421,0.14983713355,"Age [10, 20)"
Singapore,0.239534895979,0.0290322580645,"Age [10, 20)"
South Africa,0.290590200852,0.078431372549,"Age [10, 20)"
South Korea,0.280434367257,0.047619047619,"Age [10, 20)"
Spain,0.268984958288,0.0428954423592,"Age [10, 20)"
Sweden,0.240864794696,0.0464480874317,"Age [10, 20)"
Switzerland,0.23260423305,0.0148148148148,"Age [10, 20)"
Taiwan,0.23675487726,0.0373831775701,"Age [10, 20)"
Thailand,0.268920342018,0.039603960396,"Age [10, 20)"
Turkey,0.297949950266,0.0674486803519,"Age [10, 20)"
Ukraine,0.253857211201,0.0287081339713,"Age [10, 20)"
United Arab Emirates,0.304199031538,0.0745614035088,"Age [10, 20)"
United Kingdom,0.27280236427,0.0754426481909,"Age [10, 20)"
United States,0.27830784772,0.118411552347,"Age [10, 20)"
Australia,0.284428519087,0.152495121271,"Age [20, 30)"
Belgium,0.244843775386,0.0610021786492,"Age [20, 30)"
Brazil,0.272399914876,0.135922330097,"Age [20, 30)"
Canada,0.27417032083,0.157446808511,"Age [20, 30)"
Chile,0.261720804667,0.08125,"Age [20, 30)"
China,0.224915085207,0.0293648260453,"Age [20, 30)"
Czech Republic,0.232691204786,0.0683760683761,"Age [20, 30)"
Denmark,0.228598036185,0.0762711864407,"Age [20, 30)"
Egypt,0.283644636125,0.160804020101,"Age [20, 30)"
Finland,0.247846092919,0.131455399061,"Age [20, 30)"
France,0.252698907572,0.0535714285714,"Age [20, 30)"
Germany,0.248075721805,0.0891089108911,"Age [20, 30)"
Greece,0.308179031924,0.102739726027,"Age [20, 30)"
Hong Kong,0.200629778389,0.0289855072464,"Age [20, 30)"
Hungary,0.267201792221,0.0731707317073,"Age [20, 30)"
India,0.274906673849,0.124661246612,"Age [20, 30)"
Indonesia,0.282912380275,0.0728155339806,"Age [20, 30)"
Ireland,0.256615887207,0.124688279302,"Age [20, 30)"
Israel,0.25640790651,0.121621621622,"Age [20, 30)"
Italy,0.272745488037,0.0351390922401,"Age [20, 30)"
Japan,0.224926631254,0.0334117647059,"Age [20, 30)"
Malaysia,0.277855401482,0.137174211248,"Age [20, 30)"
Mexico,0.251166166748,0.141176470588,"Age [20, 30)"
Netherlands,0.242300221048,0.0572597137014,"Age [20, 30)"
New Zealand,0.275374992966,0.104513064133,"Age [20, 30)"
