"gender","bmi","n","steps_mean","lower.ci","upper.ci"
"male","[0, 15)",734,4970.37510165665,4776.86892853914,5170.59423402343
"male","[15, 18.5)",3542,4995.04744895172,4899.22804796376,5087.7556841892
"male","[18.5, 25)",64292,5909.28607506572,5888.68084279722,5931.88941326804
"male","[25, 30)",65563,5680.19132577284,5658.83025913853,5699.95257956837
"male","[30, 35)",26077,5369.29722939021,5338.82487938306,5397.86349124598
"male","[35, 40)",7997,5017.67079343433,4960.63842740552,5073.94963202316
"male","[40, inf)",4056,4565.40585580446,4490.29871584731,4639.16995215682
"female","[0, 15)",370,3564.70107118857,3340.73674247435,3782.68106211438
"female","[15, 18.5)",6878,4527.60503334585,4470.05406112915,4582.31603644837
"female","[18.5, 25)",73975,4759.09741074946,4741.04608225302,4775.2238127612
"female","[25, 30)",36420,4271.29639415484,4246.92591230715,4294.49026984928
"female","[30, 35)",16606,3889.69233249845,3857.56620846559,3922.198744596
"female","[35, 40)",7328,3600.97096157501,3554.26646695784,3646.44441508841
"female","[40, inf)",5438,3256.87520885115,3205.59917839447,3308.63341022114
