country,gender,steps_gini,N,percentile,steps_mean
Australia,female,0.303666489195,6479,P 25,2567.20722124
Australia,male,0.303666489195,6858,P 25,3746.19538648
Belgium,female,0.276202984377,542,P 25,2930.25668163
Belgium,male,0.276202984377,881,P 25,3578.95252282
Brazil,female,0.271752460714,453,P 25,2436.01086953
Brazil,male,0.271752460714,1127,P 25,3059.8460775
Canada,female,0.302882057113,7250,P 25,2622.95362929
Canada,male,0.302882057113,7022,P 25,3572.91570937
Chile,female,0.262557952563,152,P 25,3415.97473739
Chile,male,0.262557952563,270,P 25,3792.16653909
China,female,0.245276977084,4769,P 25,4314.10949539
China,male,0.245276977084,7553,P 25,4794.13898256
Czech Republic,female,0.248327636344,286,P 25,3563.35612588
Czech Republic,male,0.248327636344,708,P 25,3945.67725584
Denmark,female,0.262296787052,750,P 25,3210.98129357
Denmark,male,0.262296787052,1000,P 25,3999.907137
Egypt,female,0.302671471638,113,P 25,2417.2231698
Egypt,male,0.302671471638,290,P 25,2510.1118293
Finland,female,0.26600428249,381,P 25,3434.13333333
Finland,male,0.26600428249,388,P 25,3759.82145539
France,female,0.268304371682,1384,P 25,3201.41760373
France,male,0.268304371682,2833,P 25,3600.0390625
Germany,female,0.266173925835,1775,P 25,3165.15536226
Germany,male,0.266173925835,4740,P 25,3669.1610195
Greece,female,0.29530806466,158,P 25,2478.61522624
Greece,male,0.29530806466,455,P 25,2809.01695038
Hong Kong,female,0.222368351342,789,P 25,4721.55555556
Hong Kong,male,0.222368351342,1288,P 25,5288.3749228
Hungary,female,0.273013864871,175,P 25,3283.7551123
Hungary,male,0.273013864871,357,P 25,3675.23016016
India,female,0.293392938737,1086,P 25,2245.38294178
India,male,0.293392938737,4092,P 25,2992.31629453
Indonesia,female,0.282560531501,368,P 25,2140.87749377
Indonesia,male,0.282560531501,760,P 25,2475.7208212
Ireland,female,0.284902871533,709,P 25,3167.81809513
Ireland,male,0.284902871533,718,P 25,3790.57875849
Israel,female,0.272008715992,247,P 25,3154.19653153
Israel,male,0.272008715992,458,P 25,3642.86160692
Italy,female,0.274525749704,801,P 25,3369.11564159
Italy,male,0.274525749704,1724,P 25,3792.80536647
Japan,female,0.248464033659,2090,P 25,3549.65426045
Japan,male,0.248464033659,6696,P 25,4435.27489217
Malaysia,female,0.287591441193,814,P 25,2081.22904222
Malaysia,male,0.287591441193,937,P 25,3232.87457858
Mexico,female,0.279211876592,806,P 25,2511.67730815
Mexico,male,0.279211876592,1497,P 25,3482.34527283
Netherlands,female,0.26102476698,1171,P 25,3087.6021534
Netherlands,male,0.26102476698,2092,P 25,3729.93235348
New Zealand,female,0.301304157329,727,P 25,2578.96596853
New Zealand,male,0.301304157329,706,P 25,3216.33324919
Norway,female,0.251679193792,967,P 25,3406.51984813
Norway,male,0.251679193792,1061,P 25,3840.31473215
Philippines,female,0.297646161697,513,P 25,2079.99646737
Philippines,male,0.297646161697,550,P 25,2835.17931782
Poland,female,0.268998027933,370,P 25,3319.20019609
Poland,male,0.268998027933,643,P 25,3905.804125
Portugal,female,0.275988506338,234,P 25,2817.46223961
Portugal,male,0.275988506338,431,P 25,3340.95101299
Qatar,female,0.291161935165,148,P 25,1929.0755422
Qatar,male,0.291161935165,370,P 25,3250.69046224
Romania,female,0.283230620795,214,P 25,2634.82434707
Romania,male,0.283230620795,380,P 25,3367.64960532
Russia,female,0.262398515352,1385,P 25,3867.29190909
Russia,male,0.262398515352,2071,P 25,4144.66173415
Saudi Arabia,female,0.324758589134,626,P 25,1623.63023692
Saudi Arabia,male,0.324758589134,1153,P 25,3029.32296489
Singapore,female,0.248778920976,947,P 25,3607.20806296
Singapore,male,0.248778920976,1567,P 25,4379.66099148
South Africa,female,0.283630686406,479,P 25,2162.15902586
South Africa,male,0.283630686406,900,P 25,3211.63734431
South Korea,female,0.246801637903,621,P 25,3688.96969697
South Korea,male,0.246801637903,1235,P 25,4165.86883584
Spain,female,0.261357216967,1027,P 25,3819.33120202
Spain,male,0.261357216967,2496,P 25,4280.44413776
Sweden,female,0.246041421981,1202,P 25,4105.1083852
Sweden,male,0.246041421981,1309,P 25,4266.49771049
Switzerland,female,0.262898824692,444,P 25,3553.4788676
Switzerland,male,0.262898824692,820,P 25,4082.96359229
Taiwan,female,0.261750833362,540,P 25,3170.0514504
Taiwan,male,0.261750833362,987,P 25,3669.20880059
Thailand,female,0.27237319525,604,P 25,2868.58073837
Thailand,male,0.27237319525,1026,P 25,3696.2307345
Turkey,female,0.264023075087,1000,P 25,3275.18273293
Turkey,male,0.264023075087,1197,P 25,3667.11712366
Ukraine,female,0.252172344415,388,P 25,3847.7284674
Ukraine,male,0.252172344415,507,P 25,4301.59118973
United Arab Emirates,female,0.280711279518,673,P 25,2400.11208735
United Arab Emirates,male,0.280711279518,1315,P 25,3425.63715201
United Kingdom,female,0.288125107668,12508,P 25,3081.31431885
United Kingdom,male,0.288125107668,15144,P 25,3967.49434654
United States,female,0.302526824712,98971,P 25,2514.05846154
United States,male,0.302526824712,94707,P 25,3670.28064183
Australia,female,0.303666489195,6479,P 50,3905.82876884
Australia,male,0.303666489195,6858,P 50,5370.112
